correct,rt,stimulus,isi,subj_idx,session,trial,response,prevresp,prev2resp,prev3resp,prevstim,prev2stim,prev3stim,prevrt
1,0.541174698759278,1,5.105,109,1,36,1,1,-1,-1,1,1,-1,0.159585734746098
0,0.583194968976386,1,6.11,109,1,37,0,1,1,-1,1,1,1,-0.938875547075434
0,0.63240818856957,1,6.308,109,1,38,0,-1,1,1,1,1,1,-0.674407102056406
1,0.551529119783481,-1,5.221,109,1,39,0,-1,-1,1,1,1,1,-0.38789087374089
0,0.80196253473332,1,6.172,109,1,40,0,-1,-1,-1,-1,1,1,-0.871847249837985
1,0.620683099816233,1,5.975,109,1,41,1,-1,-1,-1,1,-1,1,0.452157935325943
1,0.466162222868661,-1,5.135,109,1,42,0,1,-1,-1,1,1,-1,-0.454077147479525
1,0.871245269726387,-1,5.76,109,1,43,0,-1,1,-1,-1,1,1,-1.46657332084193
1,0.631048001974705,1,5.021,109,1,44,1,-1,-1,1,-1,-1,1,0.745210388472135
1,1.00193677256084,1,5.954,109,1,45,1,1,-1,-1,1,-1,-1,-0.395505705256693
1,0.470491183124068,-1,6.427,109,1,46,0,1,1,-1,1,1,-1,1.23951581120047
1,0.884225173748746,1,5.965,109,1,47,1,-1,1,1,-1,1,1,-1.43388221571255
1,0.978168183601156,1,5.807,109,1,48,1,1,-1,1,1,-1,1,0.797511112632267
1,0.567266648468831,-1,5.121,109,1,49,0,1,1,-1,1,1,-1,1.15460599947185
1,1.16967972455222,1,6.117,109,1,50,1,-1,1,1,-1,1,1,-0.77234424536937
1,0.725792108257338,-1,6.161,109,1,51,0,1,-1,1,1,-1,1,1.78697148808172
1,0.731972823322394,1,5.415,109,1,52,1,-1,1,-1,-1,1,-1,0.0992065854606148
1,0.758562032938244,-1,5.037,109,1,53,0,1,-1,1,1,-1,1,0.129196529461089
1,0.601159468064907,-1,6.479,109,1,54,0,-1,1,-1,-1,1,-1,0.255388346197181
1,0.531102185340387,-1,5.578,109,1,55,0,-1,-1,1,-1,-1,1,-0.567109860095797
1,0.578793787226459,1,5.368,109,1,56,1,-1,-1,-1,-1,-1,-1,-1.00532103785396
1,0.972856883577151,-1,5.659,109,1,57,0,1,-1,-1,1,-1,-1,-0.701198247539505
1,0.581503998993867,1,5.285,109,1,58,1,-1,1,-1,-1,1,-1,1.13535022963743
1,0.553940994828736,-1,5.41,109,1,59,0,1,-1,1,1,-1,1,-0.684676484809594
1,0.663199348157832,1,6.028,109,1,60,1,-1,1,-1,-1,1,-1,-0.856414962001269
1,1.03228644631326,-1,6.008,109,1,61,0,1,-1,1,1,-1,1,-0.219756623236134
1,0.567107765886249,1,5.411,109,1,62,1,-1,1,-1,-1,1,-1,1.34505396062047
1,1.047039244595,1,5.427,109,1,63,1,1,-1,1,1,-1,1,-0.773334944310929
1,0.779931370504528,1,6.053,109,1,64,1,1,1,-1,1,1,-1,1.39523977782108
1,1.39218364966564,-1,5.105,109,1,65,0,1,1,1,1,1,1,0.353641201571839
0,1.21897571836689,1,5.788,109,1,66,0,-1,1,1,-1,1,1,2.40285579155272
1,0.603063105831097,-1,6.312,109,1,67,0,-1,-1,1,1,-1,1,1.93296770893239
1,0.564264667769748,-1,5.221,109,1,68,0,-1,-1,-1,-1,1,-1,-0.555928368595419
1,0.651387793803224,1,6.222,109,1,69,1,-1,-1,-1,-1,-1,1,-0.791109919254372
1,0.90521099502439,-1,5.948,109,1,70,0,1,-1,-1,1,-1,-1,-0.283311837640958
1,0.593716073120959,1,5.061,109,1,71,1,-1,1,-1,-1,1,-1,0.880467818544251
1,0.560343343946442,-1,5.948,109,1,72,0,1,-1,1,1,-1,1,-0.611173040214792
1,0.526709436027886,-1,5.333,109,1,73,0,-1,1,-1,-1,1,-1,-0.815773442854034
1,0.991147888212254,1,5.177,109,1,74,1,-1,-1,1,-1,-1,1,-1.03469431547775
1,0.745600847003516,1,5.797,109,1,75,1,1,-1,-1,1,-1,-1,1.20122656106528
1,0.543830782734403,-1,5.203,109,1,76,0,1,1,-1,1,1,-1,0.194437119396521
1,0.585751324607372,-1,6.39,109,1,77,0,-1,1,1,-1,1,1,-0.92156014562098
1,0.50297558760667,1,5.149,109,1,78,1,-1,-1,1,-1,-1,1,-0.658938565308455
1,0.505895865342609,-1,5.167,109,1,79,0,1,-1,-1,1,-1,-1,-1.19775998031253
1,0.655225930199776,1,5.885,109,1,80,1,-1,1,-1,-1,1,-1,-1.17728557175829
1,0.656628022699806,-1,5.177,109,1,81,0,1,-1,1,1,-1,1,-0.26253419530603
1,0.661925845205587,1,5.573,109,1,82,1,-1,1,-1,-1,1,-1,-0.254974345427635
1,0.516920379729527,-1,5.011,109,1,83,0,1,-1,1,1,-1,1,-0.226554370395252
1,0.978492715314133,1,6.037,109,1,84,1,-1,1,-1,-1,1,-1,-1.10104248006163
1,0.671945681951001,1,5.278,109,1,85,1,1,-1,1,1,-1,1,1.15577917611476
1,0.64458170655962,1,5.565,109,1,86,1,1,1,-1,1,1,-1,-0.173419865220069
1,1.27771892436158,-1,5.48,109,1,87,0,1,1,1,1,1,1,-0.320459248723069
1,0.777300117357299,1,6.402,109,1,88,1,-1,1,1,-1,1,1,2.09942169618159
1,0.825602154938679,-1,6.221,109,1,89,0,1,-1,1,1,-1,1,0.341689446147232
0,0.638438588828649,-1,5.015,109,1,90,1,-1,1,-1,-1,1,-1,0.55490149458147
1,0.74038897882383,-1,5.928,109,1,91,0,1,-1,1,-1,-1,1,-0.354326539704424
1,0.59673306091463,1,6.211,109,1,92,1,-1,1,-1,-1,-1,-1,0.169628580001919
1,0.799159357571625,1,5.167,109,1,93,1,1,-1,1,1,-1,-1,-0.593246954545735
1,0.705348181443696,1,5.395,109,1,94,1,1,1,-1,1,1,-1,0.439774292359864
1,0.828748216748863,1,5.007,109,1,95,1,1,1,1,1,1,1,-0.00184275453249329
1,0.71485628861501,-1,5.363,109,1,96,0,1,1,1,1,1,1,0.568352728005269
1,0.593050904538359,-1,5.46,109,1,97,0,-1,1,1,-1,1,1,0.0455128636046579
1,0.713513451693871,-1,5.823,109,1,98,0,-1,-1,1,-1,-1,1,-0.61513753771723
1,0.634970521605283,-1,6.129,109,1,99,0,-1,-1,-1,-1,-1,-1,0.0388631247762196
1,0.814179007656094,-1,6.188,109,1,100,0,-1,-1,-1,-1,-1,-1,-0.373590361688388
1,0.563743159900696,-1,5.639,109,2,2,0,1,-1,-1,1,-1,-1,-0.0912747783390351
1,0.618258611908459,1,5.656,109,2,3,1,-1,1,-1,-1,1,-1,-0.794380091374211
1,0.919030341089638,1,5.121,109,2,4,1,1,-1,1,1,-1,1,-0.46791891434563
1,0.533912817502824,-1,6.416,109,2,5,0,1,1,-1,1,1,-1,0.934051843960069
1,0.52717001588826,-1,5.01,109,2,6,0,-1,1,1,-1,1,1,-0.986654184215518
1,0.644883956627382,1,5.175,109,2,7,1,-1,-1,1,-1,-1,1,-1.03160305314026
0,0.680697489391605,-1,5.38,109,2,8,1,1,-1,-1,1,-1,-1,-0.318801271877704
1,0.760044316480162,-1,5.23,109,2,9,0,1,1,-1,-1,1,-1,-0.127653924071008
1,0.642404025472388,-1,6.334,109,2,10,0,-1,1,1,-1,-1,1,0.262292461588083
1,0.491983023975081,-1,5.132,109,2,11,0,-1,-1,1,-1,-1,-1,-0.332427833208819
1,0.639982815738222,1,5.269,109,2,12,1,-1,-1,-1,-1,-1,-1,-1.27591078833107
1,0.703776642846606,-1,5.547,109,2,13,0,1,-1,-1,1,-1,-1,-0.345782581363673
0,0.626572354544805,-1,5.055,109,2,14,1,-1,1,-1,-1,1,-1,-0.00973131200827898
1,0.984704092159518,-1,5.027,109,2,15,0,1,-1,1,-1,-1,1,-0.420678415148474
1,0.929009223215871,1,5.587,109,2,16,1,-1,1,-1,-1,-1,-1,1.17815851830676
1,0.63675032167157,-1,5.72,109,2,17,0,1,-1,1,1,-1,-1,0.972245978802463
1,0.620873564736939,1,6.032,109,2,18,1,-1,1,-1,-1,1,-1,-0.363691128813547
1,0.710414035867871,-1,6.07,109,2,19,0,1,-1,1,1,-1,1,-0.452992046173283
1,0.638925443116023,1,6.158,109,2,20,1,-1,1,-1,-1,1,-1,0.0234668913630654
1,0.651300271983018,-1,5.206,109,2,21,0,1,-1,1,1,-1,1,-0.351630624891837
1,0.566013603703141,1,5.173,109,2,22,1,-1,1,-1,-1,1,-1,-0.283787060951583
1,0.532173780165067,-1,5.734,109,2,23,0,1,-1,1,1,-1,1,-0.78016504700482
1,0.489655163091811,1,6.372,109,2,24,1,-1,1,-1,-1,1,-1,-0.998192399456024
1,0.487521846212076,-1,6.352,109,2,25,0,1,-1,1,1,-1,1,-1.29268446318093
1,0.55772121071459,1,5.091,109,2,26,1,-1,1,-1,-1,1,-1,-1.30812650226515
1,0.496962348725901,-1,5.404,109,2,27,0,1,-1,1,1,-1,1,-0.832362072049362
1,1.02053743682609,1,5.369,109,2,28,1,-1,1,-1,-1,1,-1,-1.24029655110356
0,1.22281694496996,1,5.95,109,2,29,0,1,-1,1,1,-1,1,1.30457063954282
1,0.976470322521891,1,5.491,109,2,30,1,-1,1,-1,1,1,-1,1.94409484323322
0,0.95019220861559,1,5.212,109,2,31,0,1,-1,1,1,1,1,1.14846190845972
1,0.710626767396207,-1,5.966,109,2,32,0,-1,1,-1,1,1,1,1.05198190733266
1,0.609080232231463,-1,5.776,109,2,33,0,-1,-1,1,-1,1,1,0.0245257723330955
1,0.681969838052282,-1,5.353,109,2,34,0,-1,-1,-1,-1,-1,1,-0.520815965696481
1,0.686710341220532,1,6.477,109,2,35,1,-1,-1,-1,-1,-1,-1,-0.121049449865352
1,0.800775155441443,1,5.174,109,2,36,1,1,-1,-1,1,-1,-1,-0.0965505812884628
0,0.748621695837755,1,5.199,109,2,37,0,1,1,-1,1,1,-1,0.44691772247181
1,1.0582110813275,-1,5.453,109,2,38,0,-1,1,1,1,1,1,0.208737122411087
1,0.603460975410599,1,5.514,109,2,39,1,-1,-1,1,-1,1,1,1.43277566990243
0,0.927230990317184,1,5.356,109,2,40,0,1,-1,-1,1,-1,1,-0.55359584210712
1,0.583304445541216,-1,5.695,109,2,41,0,-1,1,-1,1,1,-1,0.965469931566809
1,1.06414604644579,-1,5.443,109,2,42,0,-1,-1,1,-1,1,1,-0.673743269625135
0,0.914585761126546,1,6.092,109,2,43,0,-1,-1,-1,-1,-1,1,1.45255550500934
1,0.867902942119144,1,5.063,109,2,44,1,-1,-1,-1,1,-1,-1,0.916906547905807
1,0.675547395243484,-1,5.285,109,2,45,0,1,-1,-1,1,1,-1,0.731616779142997
1,0.620858542278256,1,5.37,109,2,46,1,-1,1,-1,-1,1,1,-0.154513612516944
1,0.519113508247756,-1,6.087,109,2,47,0,1,-1,1,1,-1,1,-0.453077618814295
1,0.789249501473932,-1,5.092,109,2,48,0,-1,1,-1,-1,1,-1,-1.08606934996717
1,0.546168673300599,-1,5.622,109,2,49,0,-1,-1,1,-1,-1,1,0.395644436343514
1,0.936358005831607,-1,5.718,109,2,50,0,-1,-1,-1,-1,-1,-1,-0.906388929629069
1,0.639671227712824,-1,6.465,109,2,51,0,-1,-1,-1,-1,-1,-1,1.00011201089306
1,0.661984276990552,-1,5.272,109,2,52,0,-1,-1,-1,-1,-1,-1,-0.347504886205245
1,0.633870397055034,1,5.26,109,2,53,1,-1,-1,-1,-1,-1,-1,-0.226242185073947
1,1.1980437048469,1,5.231,109,2,54,1,1,-1,-1,1,-1,-1,-0.379723130845006
1,0.658066780210902,-1,5.487,109,2,55,0,1,1,-1,1,1,-1,1.87170960476228
1,1.33915887964122,-1,6.029,109,2,56,0,-1,1,1,-1,1,1,-0.247233566591616
1,0.981089600591076,1,5.62,109,2,57,1,-1,-1,1,-1,-1,1,2.26552149010682
1,0.921617252583928,1,5.343,109,2,58,1,1,-1,-1,1,-1,-1,1.16515288226472
1,0.646443002660817,-1,5.039,109,2,59,0,1,1,-1,1,1,-1,0.943992911792537
1,0.766505319350472,1,6.245,109,2,60,1,-1,1,1,-1,1,1,-0.31026152968664
1,0.664684176632363,1,5.811,109,2,61,1,1,-1,1,1,-1,1,0.292229816458776
1,0.646968360128994,1,5.008,109,2,62,1,1,1,-1,1,1,-1,-0.211847318404199
1,0.496332766048909,-1,5.487,109,2,63,0,1,1,1,1,1,1,-0.307388500153065
1,0.552729709515006,-1,6.191,109,2,64,0,-1,1,1,-1,1,1,-1.24477983619692
1,0.651780396336108,-1,6.478,109,2,65,0,-1,-1,1,-1,-1,1,-0.864156906252692
1,0.716135934383601,1,5.85,109,2,66,1,-1,-1,-1,-1,-1,-1,-0.281180881712249
1,0.507669429098314,-1,6.205,109,2,67,0,1,-1,-1,1,-1,-1,0.051838066125297
1,0.620924850114534,-1,6.24,109,2,68,0,-1,1,-1,-1,1,-1,-1.16490851606933
1,0.585905642984471,-1,5.152,109,2,69,0,-1,-1,1,-1,-1,1,-0.452699924160295
1,1.05490918921714,1,5.719,109,2,70,1,-1,-1,-1,-1,-1,-1,-0.658006944889906
1,0.504722106099507,-1,5.539,109,2,71,0,1,-1,-1,1,-1,-1,1.42172316174654
1,0.818589189348131,1,6.455,109,2,72,1,-1,1,-1,-1,1,-1,-1.18550069403143
1,0.588575881164616,-1,6.206,109,2,73,0,1,-1,1,1,-1,1,0.524731598637728
1,1.13871427287086,-1,5.585,109,2,74,0,-1,1,-1,-1,1,-1,-0.641925451056978
1,0.822792951336851,1,5.039,109,2,75,1,-1,-1,1,-1,-1,1,1.69208259890913
1,0.615964469012397,-1,6.464,109,2,76,0,1,-1,-1,1,-1,-1,0.542847134824808
1,0.663139134429002,1,5.712,109,2,77,1,-1,1,-1,-1,1,-1,-0.481066594487568
1,0.59538641198742,-1,6.203,109,2,78,0,1,-1,1,1,-1,1,-0.220077740001408
1,0.740161416401861,1,6.12,109,2,79,1,-1,1,-1,-1,1,-1,-0.601237135597503
1,0.63912951304701,-1,6.014,109,2,80,0,1,-1,1,1,-1,1,0.168541405684603
1,0.661486776810307,1,5.391,109,2,81,1,-1,1,-1,-1,1,-1,-0.350501215693094
1,1.03351622382343,1,5.318,109,2,82,1,1,-1,1,1,-1,1,-0.228901076746995
1,0.704975755634223,1,5.133,109,2,83,1,1,1,-1,1,1,-1,1.3492647119218
1,0.622300100359098,1,5.438,109,2,84,1,1,1,1,1,1,1,-0.00371060769255118
1,0.618402690077346,1,5.999,109,2,85,1,1,1,1,1,1,1,-0.444875470574594
0,0.81036313786808,1,5.297,109,2,86,0,1,1,1,1,1,1,-0.467094834601107
1,1.027126656576,1,5.673,109,2,87,1,-1,1,1,1,1,1,0.489011835652056
1,0.935609221253799,1,5.234,109,2,88,1,1,-1,1,1,1,1,1.3273320203013
1,0.671786495021479,-1,5.669,109,2,89,0,1,1,-1,1,1,1,0.997282701111119
1,0.588230635301443,1,5.573,109,2,90,1,-1,1,1,-1,1,1,-0.174257812159812
1,0.734390055638869,-1,5.811,109,2,91,0,1,-1,1,1,-1,1,-0.644000580820252
1,0.630250992147921,-1,5.556,109,2,92,0,-1,1,-1,-1,1,-1,0.140856545703878
1,1.487546108885,1,5.367,109,2,93,1,-1,-1,1,-1,-1,1,-0.399975293465637
1,1.02407779681107,1,5.666,109,2,94,1,1,-1,-1,1,-1,-1,2.63717417459786
1,0.791939307360735,1,5.508,109,2,95,1,1,1,-1,1,1,-1,1.31681843975402
1,0.866337174324144,-1,6.033,109,2,96,0,1,1,1,1,1,1,0.40767703565766
1,0.893397064745841,-1,6.332,109,2,97,0,-1,1,1,-1,1,1,0.72523061504055
1,0.644796919601504,1,6.34,109,2,98,1,-1,-1,1,-1,-1,1,0.83400709785441
1,1.05473226948561,-1,5.776,109,2,99,0,1,-1,-1,1,-1,-1,-0.319278629224737
1,1.33449084641506,1,5.07,109,2,100,1,-1,1,-1,-1,1,-1,1.42112997771793
1,0.514108048329035,-1,5.025,109,3,2,0,-1,1,-1,-1,1,-1,-0.549819575367604
1,0.52951272237533,-1,5.891,109,3,3,0,-1,-1,1,-1,-1,1,-1.12033632399007
1,0.483355087903874,-1,5.746,109,3,4,0,-1,-1,-1,-1,-1,-1,-1.0159212568892
1,0.594855155899495,1,6.325,109,3,5,1,-1,-1,-1,-1,-1,-1,-1.33848348623609
1,0.668376911886298,1,5.461,109,3,6,1,1,-1,-1,1,-1,-1,-0.604394252500457
1,0.595420317618846,1,5.086,109,3,7,1,1,1,-1,1,1,-1,-0.192253410617222
0,0.58567983994908,-1,6.13,109,3,8,1,1,1,1,1,1,1,-0.601035738881497
1,1.13101077828833,-1,5.474,109,3,9,0,1,1,1,-1,1,1,-0.659370201548197
1,0.649359773065044,1,5.282,109,3,10,1,-1,1,1,-1,-1,1,1.66807559151566
1,0.690789953645435,1,6.37,109,3,11,1,1,-1,1,1,-1,-1,-0.294339959327643
1,0.774016307836973,1,5.907,109,3,12,1,1,1,-1,1,1,-1,-0.0756022080467439
1,0.584348340971701,1,6.174,109,3,13,1,1,1,1,1,1,1,0.326716748881135
1,0.936450072898879,-1,5.305,109,3,14,0,1,1,1,1,1,1,-0.667419657546812
1,1.01915088917394,-1,5.301,109,3,15,0,-1,1,1,-1,1,1,1.0004597334493
1,0.738588840216835,-1,5.253,109,3,16,0,-1,-1,1,-1,-1,1,1.29976232483781
1,0.652938460356381,-1,5.045,109,3,17,0,-1,-1,-1,-1,-1,-1,0.161019310003995
0,0.793858884871952,1,6.01,109,3,18,0,-1,-1,-1,-1,-1,-1,-0.274902646652508
1,0.682210156193833,1,5.834,109,3,19,1,-1,-1,-1,1,-1,-1,0.416239125392817
1,0.657439216807688,-1,6.175,109,3,20,0,1,-1,-1,1,1,-1,-0.119803396297187
0,0.751403060783559,-1,5.899,109,3,21,1,-1,1,-1,-1,1,1,-0.250607889483965
1,0.676091936633384,-1,5.025,109,3,22,0,1,-1,1,-1,-1,1,0.2218525325421
1,0.629898317762127,1,6.04,109,3,23,1,-1,1,-1,-1,-1,-1,-0.151663959867059
1,0.635474506868377,1,6.139,109,3,24,1,1,-1,1,1,-1,-1,-0.401954876632641
1,0.687081684657642,-1,6.423,109,3,25,0,1,1,-1,1,1,-1,-0.37078438660412
1,0.871497437414291,1,6.046,109,3,26,1,-1,1,1,-1,1,1,-0.0946386309817191
1,0.679680936051227,1,5.025,109,3,27,1,1,-1,1,1,-1,1,0.746233865250991
1,0.646635452530973,1,6.444,109,3,28,1,1,1,-1,1,1,-1,-0.132939500353446
1,0.649731030199291,-1,5.295,109,3,29,0,1,1,1,1,1,1,-0.309208805555825
1,0.94548579577804,-1,5.638,109,3,30,0,-1,1,1,-1,1,1,-0.292318536621455
1,0.702851374622696,1,6.364,109,3,31,1,-1,-1,1,-1,-1,1,1.03442095073746
1,1.29858550973859,1,5.577,109,3,32,1,1,-1,-1,1,-1,-1,-0.0143840679767608
1,0.730388957575087,-1,5.81,109,3,33,0,1,1,-1,1,1,-1,2.1567125811376
1,0.698171897535758,-1,5.5,109,3,34,0,-1,1,1,-1,1,1,0.121535528150213
1,0.773950454720762,-1,5.161,109,3,35,0,-1,-1,1,-1,-1,1,-0.0380092639055204
1,0.644474346686366,1,6.08,109,3,36,1,-1,-1,-1,-1,-1,-1,0.326415838945442
1,0.946941929114473,1,6.11,109,3,37,1,1,-1,-1,1,-1,-1,-0.321048352784202
1,0.64905719249964,1,5.795,109,3,38,1,1,1,-1,1,1,-1,1.03986351739154
1,0.746630550960617,1,5.668,109,3,39,1,1,1,1,1,1,1,-0.295988306489172
1,0.555738452837431,1,6.276,109,3,40,1,1,1,1,1,1,1,0.199317999112612
0,0.734087369811277,-1,5.894,109,3,41,1,1,1,1,1,1,1,-0.844957632086365
1,0.965522307471474,1,5.63,109,3,42,1,1,1,1,-1,1,1,0.139398582220919
1,0.677364435996424,1,5.5,109,3,43,1,1,1,1,1,-1,1,1.10858566513089
1,0.606629353518656,1,6.182,109,3,44,1,1,1,1,1,1,-1,-0.14501375126331
1,0.86160825395109,-1,5.743,109,3,45,0,1,1,1,1,1,1,-0.535075797243868
1,0.664775743864993,1,6.147,109,3,46,1,-1,1,1,-1,1,1,0.705872864398865
1,0.779438783662044,-1,5.477,109,3,47,0,1,-1,1,1,-1,1,-0.211360141525327
1,0.663096863701867,1,5.006,109,3,48,1,-1,1,-1,-1,1,-1,0.351406829820317
1,0.849650693032345,1,5.964,109,3,49,1,1,-1,1,1,-1,1,-0.220303185067453
1,0.694736307379571,1,5.809,109,3,50,1,1,1,-1,1,1,-1,0.656446830015707
1,0.632258370001182,-1,5.216,109,3,51,0,1,1,1,1,1,1,-0.0554554926322611
1,0.756791461972171,-1,5.112,109,3,52,0,-1,1,1,-1,1,1,-0.388728810877269
1,0.660019835110688,1,5.458,109,3,53,1,-1,-1,1,-1,-1,1,0.247123754374582
1,0.732302542971411,1,6.361,109,3,54,1,1,-1,-1,1,-1,-1,-0.236752809699119
1,0.598891509373061,1,5.485,109,3,55,1,1,1,-1,1,1,-1,0.130789265870934
1,1.03980925067572,-1,5.955,109,3,56,0,1,1,1,1,1,1,-0.580477593949294
1,0.586608514491672,1,5.297,109,3,57,1,-1,1,1,-1,1,1,1.37073388231732
1,0.592074260383924,1,6.149,109,3,58,1,1,-1,1,1,-1,1,-0.653766809508116
1,0.693771430393099,1,6.199,109,3,59,1,1,1,-1,1,1,-1,-0.620966537799399
1,0.878058248065827,1,5.194,109,3,60,1,1,1,1,1,1,1,-0.0603707418394359
1,0.795501550823246,-1,6.164,109,3,61,0,1,1,1,1,1,1,0.772758755642872
1,0.67875437427665,-1,5.486,109,3,62,0,-1,1,1,-1,1,1,0.423549654999137
1,1.1392392282487,1,5.074,109,3,63,1,-1,-1,1,-1,-1,1,-0.13776405592335
1,0.731499127171446,-1,5.574,109,3,64,0,1,-1,-1,1,-1,-1,1.69371264306937
1,0.599531764421044,-1,5.427,109,3,65,0,-1,1,-1,-1,1,-1,0.126907047130303
1,0.646159967244785,-1,5.596,109,3,66,0,-1,-1,1,-1,-1,1,-0.576698700503897
1,0.878712397761774,1,6.338,109,3,67,1,-1,-1,-1,-1,-1,-1,-0.31181033727419
1,0.973252384750595,-1,5.557,109,3,68,0,1,-1,-1,1,-1,-1,0.775392562511729
1,0.532885519872252,1,5.625,109,3,69,1,-1,1,-1,-1,1,-1,1.13678771155243
1,0.749321029611565,1,5.926,109,3,70,1,1,-1,1,1,-1,1,-0.993465576901347
1,0.833123255813916,1,5.15,109,3,71,1,1,1,-1,1,1,-1,0.212039381575879
1,1.02357648822181,-1,5.805,109,3,72,0,1,1,1,1,1,1,0.586973913820502
0,0.770107149021896,-1,6.037,109,3,73,1,-1,1,1,-1,1,1,1.31508674896056
1,1.05674486927182,1,5.378,109,3,74,1,1,-1,1,-1,-1,1,0.308809698719031
1,0.695166860956306,-1,5.145,109,3,75,0,1,1,-1,1,-1,-1,1.4278720436967
1,0.643730091990619,-1,5.932,109,3,76,0,-1,1,1,-1,1,-1,-0.0532643810299846
1,0.710038929134498,-1,5.207,109,3,77,0,-1,-1,1,-1,-1,1,-0.325134920207753
1,0.765767981903082,-1,6.246,109,3,78,0,-1,-1,-1,-1,-1,-1,0.0215990076270421
1,0.838970326771232,1,6.291,109,3,80,1,1,-1,-1,-1,-1,-1,NaN
1,0.785822072755764,-1,5.358,109,3,81,0,1,1,-1,1,-1,-1,0.61170831397376
1,0.598025766748833,1,5.9,109,3,82,1,-1,1,1,-1,1,-1,0.380252592407552
0,0.942904308896686,1,5.203,109,3,83,0,1,-1,1,1,-1,1,-0.585593782818873
1,0.752995114448822,-1,5.935,109,3,84,0,-1,1,-1,1,1,-1,1.02475153339977
1,0.589839827788637,-1,6.435,109,3,85,0,-1,-1,1,-1,1,1,0.229337964986576
1,0.876253169642041,-1,6.086,109,3,86,0,-1,-1,-1,-1,-1,1,-0.634338763380982
1,0.606221848500354,1,5.591,109,3,87,1,-1,-1,-1,-1,-1,-1,0.765480767116859
1,0.733104379834003,-1,5.381,109,3,88,0,1,-1,-1,1,-1,-1,-0.537452349033523
1,0.591784356427524,-1,5.561,109,3,89,0,-1,1,-1,-1,1,-1,0.134659610614258
1,0.62929706964951,-1,6.296,109,3,90,0,-1,-1,1,-1,-1,1,-0.62269865047397
1,0.965059340900552,-1,6.1,109,3,91,0,-1,-1,-1,-1,-1,-1,-0.405332276353083
1,0.709264603369775,-1,5.178,109,3,92,0,-1,-1,-1,-1,-1,-1,1.10688944076966
