subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt
1,1,4,61,-1,0,0.951,1,1,-0.89317429323457
1,1,4,62,-1,0,1.031,-1,-1,-1.40444792540843
1,1,4,63,1,1,0.961,-1,-1,-1.1037561197293
1,1,4,64,1,1,1.481,1,1,-1.36550618909918
1,1,4,65,1,1,1.751,1,1,0.244597163995574
1,1,4,66,-1,0,1.191,1,1,0.868052023480078
1,1,4,67,-1,1,0.84,-1,-1,-0.56669035326797
1,1,4,68,-1,0,2.041,-1,1,-1.86649222376696
1,1,4,69,1,0,0.93,-1,-1,1.43858105497606
1,1,4,70,1,1,1.611,1,-1,-1.48757601185
1,1,4,71,1,1,1.652,1,1,0.557824172841346
1,1,4,72,1,0,0.951,1,1,0.65138388562954
1,1,4,73,-1,0,1.201,1,-1,-1.40444792540843
1,1,4,74,-1,1,1.531,-1,-1,-0.535563114685842
1,1,4,75,-1,0,1.611,-1,1,0.368207325503183
1,1,4,76,1,0,0.911,-1,-1,0.557824172841346
1,1,4,77,-1,0,1.541,1,-1,-1.56442080962027
1,1,4,78,1,0,1.05,-1,-1,0.392444364535482
1,1,4,79,1,0,1.501,1,-1,-1.03577429326884
1,1,4,80,-1,0,1.891,1,-1,0.294534814803947
1,1,4,81,1,0,1.221,-1,-1,1.15440479110277
1,1,4,82,1,1,1.371,1,-1,-0.474078710610598
1,1,4,83,-1,0,1.821,1,1,-0.0427175679190277
1,1,4,84,1,0,1.001,-1,-1,1.01398096546004
1,1,4,85,-1,1,1.181,1,-1,-1.2136891876292
1,1,4,86,-1,0,1.861,-1,1,-0.598080050584251
1,1,4,87,-1,0,1.26,-1,-1,1.09487053656224
1,1,4,88,1,0,1.311,-1,-1,-0.357028322556025
1,1,4,89,-1,0,1.941,1,-1,-0.209313419890858
1,1,4,90,1,1,1.411,-1,-1,1.25156051493018
1,1,4,91,-1,0,2.252,1,1,0.0643436144506365
1,1,4,92,1,0,1.491,-1,-1,1.80482536108231
1,1,4,93,-1,0,1.842,1,-1,0.269649721836387
1,1,4,94,1,1,2.041,-1,-1,1.05666705527154
1,1,4,95,-1,0,1.12,1,1,1.43858105497606
1,1,4,96,1,1,1.651,-1,-1,-0.795510541970384
1,1,4,97,1,0,1.592,1,1,0.649129694797186
1,1,4,98,1,1,1.631,1,-1,0.513656858111781
1,1,4,99,-1,0,1.401,1,1,0.603756847400924
1,1,4,100,-1,0,1.582,-1,-1,0.0378655793196328
1,1,4,101,-1,0,1.731,-1,-1,0.490198708371451
1,1,4,102,-1,0,1.971,-1,-1,0.825285372280249
1,1,4,103,1,0,1.441,-1,-1,1.30865973312967
1,1,4,104,1,0,1.911,1,-1,0.142666195690862
1,1,4,105,-1,0,1.361,1,-1,1.19357186511804
1,1,4,106,-1,1,1.441,-1,-1,-0.0699709549759631
1,1,4,107,1,1,1.311,-1,1,0.142666195690862
1,1,4,108,1,0,1.661,1,1,-0.209313419890858
1,1,4,109,-1,0,1.181,1,-1,0.671610415562151
1,1,4,110,1,1,2.052,-1,-1,-0.598080050584251
1,1,4,111,1,0,1.581,1,1,1.45859124559292
1,1,4,112,-1,0,1.622,1,-1,0.487844743041116
1,1,4,113,-1,0,1.621,-1,-1,0.583157247092389
1,1,4,114,1,1,1.771,-1,-1,0.580861350599092
1,1,4,115,-1,0,2.262,1,1,0.910332955476192
1,1,4,116,1,1,2.122,-1,-1,1.82131983222105
1,1,4,117,-1,0,1.591,1,1,1.5834691363976
1,1,4,118,-1,0,1.611,-1,-1,0.511317683642179
