subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev2stim,prev3stim,prev3resp
1,1,2,41,1,1,1.091,-1,1,0.738249355593875,-1,1,-1,-1
1,1,2,42,1,1,0.801,1,1,-0.89317429323457,1,-1,1,-1
1,1,2,43,-1,1,0.93,1,1,-2.04347746497081,1,1,-1,1
1,1,2,44,-1,0,0.56,-1,1,-1.48757601185,1,1,1,1
1,1,2,45,1,1,1.921,-1,-1,-3.37595612497789,1,-1,1,1
1,1,2,46,-1,0,1.101,1,1,1.21300195121777,-1,-1,-1,1
1,1,2,47,1,1,0.911,-1,-1,-0.859206940380641,1,1,-1,-1
1,1,2,48,1,0,1.571,1,1,-1.56442080962027,-1,-1,1,1
1,1,2,49,1,0,0.95,1,-1,0.464222861465342,1,1,-1,-1
1,1,2,50,-1,1,0.831,1,-1,-1.40836459704365,-1,1,1,1
1,1,2,51,1,1,1.381,-1,1,-1.90659454381715,-1,1,1,-1
1,1,2,52,1,0,1.181,1,1,-0.015662245017899,1,-1,1,-1
1,1,2,53,-1,1,1.05,1,-1,-0.598080050584251,1,1,-1,1
1,1,2,54,1,1,1.191,-1,1,-1.03577429326884,-1,1,1,1
1,1,2,55,-1,0,1.842,1,1,-0.56669035326797,1,-1,1,-1
1,1,2,56,-1,1,1.401,-1,-1,1.05666705527154,1,1,-1,1
1,1,2,57,-1,0,1.2,-1,1,0.0378655793196328,-1,-1,1,1
1,1,2,58,-1,0,1.101,-1,-1,-0.53866415280425,1,-1,-1,-1
1,1,2,59,-1,0,1.041,-1,-1,-0.859206940380641,-1,-1,-1,1
1,1,2,60,1,0,1.051,-1,-1,-1.06782151595523,-1,-1,-1,-1
1,1,2,61,1,0,0.9,1,-1,-1.03223046049682,-1,-1,-1,-1
1,1,2,62,1,0,1.17,1,-1,-1.60964583460082,-1,1,-1,-1
1,1,2,63,-1,1,0.89,1,-1,-0.632917188258735,-1,1,1,-1
1,1,2,64,1,1,1.931,-1,1,-1.65124175388705,-1,1,1,-1
1,1,2,65,1,0,1.31,1,1,1.23233115375764,1,-1,1,-1
1,1,2,66,-1,1,1.101,1,-1,-0.212154164817625,1,1,-1,1
1,1,2,67,1,0,1.652,-1,1,-0.859206940380641,-1,1,1,1
1,1,2,68,1,1,1.101,1,-1,0.65138388562954,1,-1,1,-1
1,1,2,69,1,1,0.951,1,1,-0.859206940380641,-1,1,-1,1
1,1,2,70,-1,0,1.781,1,1,-1.40444792540843,1,1,1,-1
1,1,2,71,-1,1,0.981,-1,-1,0.931294700304813,1,1,1,1
1,1,2,72,1,0,1.011,-1,1,-1.28882384779083,-1,-1,1,1
1,1,2,73,1,0,1.221,1,-1,-1.1766829580001,1,-1,-1,-1
1,1,2,74,1,0,1.431,1,-1,-0.474078710610598,-1,1,-1,1
1,1,2,75,-1,1,0.89,1,-1,0.116741327372302,-1,1,1,-1
1,1,2,76,-1,1,0.781,-1,1,-1.65124175388705,-1,1,1,-1
1,1,2,77,1,1,0.79,-1,1,-2.13761133091086,1,-1,1,-1
1,1,2,78,1,1,0.941,1,1,-2.09495629467698,1,-1,-1,1
1,1,2,79,1,1,1.051,1,1,-1.44380131560535,1,1,-1,1
1,1,2,80,-1,1,1.141,1,1,-1.03223046049682,1,1,1,1
1,1,2,81,-1,1,0.77,-1,1,-0.726354447212555,1,1,1,1
1,1,2,82,-1,1,0.821,-1,1,-2.19041783397129,1,-1,1,1
1,1,2,83,-1,1,0.701,-1,1,-1.95166526436433,1,-1,-1,1
1,1,2,84,1,1,0.64,-1,1,-2.53992370957169,1,-1,-1,1
1,1,2,85,1,1,2.151,1,1,-2.8788459845133,1,-1,-1,1
1,1,2,86,-1,0,1,1,1,1.63400166294244,1,1,-1,1
1,1,2,87,-1,0,1.671,-1,-1,-1.21741012351707,1,1,1,1
1,1,2,88,1,1,0.991,-1,-1,0.693956197214476,-1,-1,1,1
1,1,2,89,-1,0,1.461,1,1,-1.25106697195998,-1,-1,-1,-1
1,1,2,90,-1,0,1.231,-1,-1,0.193980530466605,1,1,-1,-1
1,1,2,91,1,1,1.872,-1,-1,-0.443713158522756,-1,-1,1,1
1,1,2,92,1,1,2.021,1,1,1.11681046425066,-1,-1,-1,-1
1,1,2,93,1,1,1.951,1,1,1.40192102415566,1,1,-1,-1
1,1,2,94,-1,0,0.92,1,1,1.27069106086109,1,1,1,1
1,1,2,95,-1,1,1.401,-1,-1,-1.52782284757521,1,1,1,1
1,1,2,96,-1,0,2.062,-1,1,0.0378655793196328,-1,-1,1,1
