subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev3resp,prev2stim,prev3stim,prev2rt,prev3rt
1,1,2,2,-1,1,1.022,1,1,-0.552052998814529,-1,-1,1,1,0.827910111531846,-1.7163607532153
1,1,2,3,1,1,1.554,-1,1,-0.933107598491932,1,-1,1,1,-0.552052998814529,0.827910111531846
1,1,2,4,1,1,1.528,1,1,1.13597811370376,1,1,-1,1,-0.933107598491932,-0.552052998814529
1,1,2,5,-1,0,1.236,1,1,1.05267290936132,1,1,1,-1,1.13597811370376,-0.933107598491932
1,1,2,6,1,0,1.701,-1,-1,0.00556975446908836,1,1,1,1,1.05267290936132,1.13597811370376
1,1,2,7,-1,0,1.142,1,-1,1.5822329898995,-1,1,-1,1,0.00556975446908836,1.05267290936132
1,1,2,8,-1,0,1.316,-1,-1,-0.384968405262834,-1,-1,1,-1,1.5822329898995,0.00556975446908836
1,1,2,9,1,1,1.463,-1,-1,0.315220945470903,-1,-1,-1,1,-0.384968405262834,1.5822329898995
1,1,2,10,-1,0,1.528,1,1,0.838044877149945,-1,-1,-1,-1,0.315220945470903,-0.384968405262834
1,1,2,11,-1,0,1.529,-1,-1,1.05267290936132,1,-1,1,-1,0.838044877149945,0.315220945470903
1,1,2,12,-1,0,1.261,-1,-1,1.05590308170421,-1,1,-1,1,1.05267290936132,0.838044877149945
1,1,2,13,1,1,0.987,-1,-1,0.104438061094799,-1,-1,-1,-1,1.05590308170421,1.05267290936132
1,1,2,14,-1,0,1.342,1,1,-1.10515700104096,-1,-1,-1,-1,0.104438061094799,1.05590308170421
1,1,2,15,-1,0,1.349,-1,-1,0.411815655055306,1,-1,1,-1,-1.10515700104096,0.104438061094799
1,1,2,16,-1,0,1.168,-1,-1,0.437502244207248,-1,1,-1,1,0.411815655055306,-1.10515700104096
1,1,2,17,1,1,1.079,-1,-1,-0.273820616739954,-1,-1,-1,-1,0.437502244207248,0.411815655055306
1,1,2,18,1,0,1.29,1,1,-0.665143564828916,-1,-1,-1,-1,-0.273820616739954,0.437502244207248
1,1,2,19,1,1,1.737,1,-1,0.216698662982614,1,-1,1,-1,-0.665143564828916,-0.273820616739954
