subj_idx,session,block,trial,stimulus,coherence,response,rt,prevstim,prevresp,prev2resp,prev2stim,prev3resp,prev3stim,prevrt
1,1,2,84,-3,3,0,0.884238958358765,1,1,1,1,1,-1,0.100890159606934
1,1,2,85,81,81,1,0.467134237289429,-1,-1,1,1,1,1,0.634238958358765
1,1,2,86,-9,9,0,0.634236097335815,1,1,-1,-1,1,1,0.217134237289429
1,1,2,87,0,0,1,0.567134380340576,-1,-1,1,1,-1,-1,0.384236097335815
1,1,2,88,27,27,1,0.484267950057983,1,1,-1,-1,1,1,0.317134380340576
1,1,2,89,81,81,1,0.500468969345093,1,1,1,1,-1,-1,0.234267950057983
1,1,2,90,-81,81,0,0.300495862960815,1,1,1,1,1,1,0.250468969345093
1,1,2,91,-3,3,0,0.517129182815552,-1,-1,1,1,1,1,0.0504958629608154
1,1,2,92,-9,9,0,0.467143774032593,-1,-1,-1,-1,1,1,0.267129182815552
1,1,2,93,-3,3,1,0.767107009887695,-1,-1,-1,-1,-1,-1,0.217143774032593
1,1,2,94,81,81,1,0.267124891281128,-1,1,-1,-1,-1,-1,0.517107009887695
1,1,2,95,-81,81,0,0.383806943893433,1,1,1,-1,-1,-1,0.0171248912811279
1,1,2,96,-9,9,0,0.550492525100708,-1,-1,1,1,1,-1,0.133806943893433
1,1,2,97,3,3,1,0.850896596908569,-1,-1,-1,-1,1,1,0.300492525100708
1,1,2,98,-3,3,0,0.484248876571655,1,1,-1,-1,-1,-1,0.600896596908569
1,1,2,99,3,3,0,0.86757230758667,-1,-1,1,1,-1,-1,0.234248876571655
1,1,3,4,-3,3,1,0.768115043640137,-1,-1,-1,-1,-1,-1,0.267152070999146
1,1,3,5,-3,3,0,0.617116689682007,-1,1,-1,-1,-1,-1,0.518115043640137
1,1,3,6,3,3,1,0.617146015167236,-1,-1,1,-1,-1,-1,0.367116689682007
1,1,3,7,-3,3,0,0.417139053344727,1,1,-1,-1,1,-1,0.367146015167236
1,1,3,8,-81,81,0,0.450917959213257,-1,-1,1,1,-1,-1,0.167139053344727
1,1,3,9,3,3,1,0.467160940170288,-1,-1,-1,-1,1,1,0.200917959213257
1,1,3,10,9,9,1,0.433789968490601,1,1,-1,-1,-1,-1,0.217160940170288
1,1,3,11,9,9,1,0.900460958480835,1,1,1,1,-1,-1,0.183789968490601
1,1,3,12,3,3,1,0.883788585662842,1,1,1,1,1,1,0.650460958480835
1,1,3,13,27,27,1,0.333791017532349,1,1,1,1,1,1,0.633788585662842
1,1,3,14,-3,3,1,0.884232044219971,1,1,1,1,1,1,0.0837910175323486
1,1,3,15,9,9,1,0.500933408737183,-1,1,1,1,1,1,0.634232044219971
1,1,3,16,9,9,1,0.467137813568115,1,1,1,-1,1,1,0.250933408737183
