correct,rt,stimulus,isi,subj_idx,session,trial,response,prevresp,prev2resp,prev3resp,prevstim,prev2stim,prev3stim,prevrt
1,0.984704092159518,-1,5.027,109,2,15,0,1,-1,1,-1,-1,1,NaN
1,0.929009223215871,1,5.587,109,2,16,1,-1,1,-1,-1,-1,-1,NaN
1,0.63675032167157,-1,5.72,109,2,17,0,1,-1,1,1,-1,-1,NaN
1,0.620873564736939,1,6.032,109,2,18,1,-1,1,-1,-1,1,-1,NaN
1,0.710414035867871,-1,6.07,109,2,19,0,1,-1,1,1,-1,1,NaN
1,0.638925443116023,1,6.158,109,2,20,1,-1,1,-1,-1,1,-1,NaN
1,0.651300271983018,-1,5.206,109,2,21,0,1,-1,1,1,-1,1,NaN
1,0.566013603703141,1,5.173,109,2,22,1,-1,1,-1,-1,1,-1,NaN
1,0.532173780165067,-1,5.734,109,2,23,0,1,-1,1,1,-1,1,NaN
1,0.489655163091811,1,6.372,109,2,24,1,-1,1,-1,-1,1,-1,NaN
1,0.487521846212076,-1,6.352,109,2,25,0,1,-1,1,1,-1,1,NaN
1,0.55772121071459,1,5.091,109,2,26,1,-1,1,-1,-1,1,-1,NaN
1,0.496962348725901,-1,5.404,109,2,27,0,1,-1,1,1,-1,1,NaN
1,1.02053743682609,1,5.369,109,2,28,1,-1,1,-1,-1,1,-1,NaN
0,1.22281694496996,1,5.95,109,2,29,0,1,-1,1,1,-1,1,NaN
1,0.976470322521891,1,5.491,109,2,30,1,-1,1,-1,1,1,-1,NaN
0,0.95019220861559,1,5.212,109,2,31,0,1,-1,1,1,1,1,NaN
1,0.710626767396207,-1,5.966,109,2,32,0,-1,1,-1,1,1,1,NaN
1,0.609080232231463,-1,5.776,109,2,33,0,-1,-1,1,-1,1,1,NaN
1,0.681969838052282,-1,5.353,109,2,34,0,-1,-1,-1,-1,-1,1,NaN
1,0.686710341220532,1,6.477,109,2,35,1,-1,-1,-1,-1,-1,-1,NaN
1,0.800775155441443,1,5.174,109,2,36,1,1,-1,-1,1,-1,-1,NaN
0,0.748621695837755,1,5.199,109,2,37,0,1,1,-1,1,1,-1,NaN
1,1.0582110813275,-1,5.453,109,2,38,0,-1,1,1,1,1,1,NaN
1,0.603460975410599,1,5.514,109,2,39,1,-1,-1,1,-1,1,1,NaN
0,0.927230990317184,1,5.356,109,2,40,0,1,-1,-1,1,-1,1,NaN
1,0.583304445541216,-1,5.695,109,2,41,0,-1,1,-1,1,1,-1,NaN
1,1.06414604644579,-1,5.443,109,2,42,0,-1,-1,1,-1,1,1,NaN
0,0.914585761126546,1,6.092,109,2,43,0,-1,-1,-1,-1,-1,1,NaN
1,0.867902942119144,1,5.063,109,2,44,1,-1,-1,-1,1,-1,-1,NaN
